  UID   GID     PID    PPID ELAPSED COMMAND
    0     0       1       0    2919 /sbin/init splash
    0     0       2       0    2919 [kthreadd]
    0     0       3       2    2919 [rcu_gp]
    0     0       4       2    2919 [rcu_par_gp]
    0     0       6       2    2919 [kworker/0:0H-kblockd]
    0     0       9       2    2919 [mm_percpu_wq]
    0     0      10       2    2919 [ksoftirqd/0]
    0     0      11       2    2919 [rcu_sched]
    0     0      12       2    2919 [migration/0]
    0     0      13       2    2919 [idle_inject/0]
    0     0      14       2    2919 [cpuhp/0]
    0     0      15       2    2919 [cpuhp/1]
    0     0      16       2    2919 [idle_inject/1]
    0     0      17       2    2919 [migration/1]
    0     0      18       2    2919 [ksoftirqd/1]
    0     0      20       2    2919 [kworker/1:0H-kblockd]
    0     0      21       2    2919 [cpuhp/2]
    0     0      22       2    2919 [idle_inject/2]
    0     0      23       2    2919 [migration/2]
    0     0      24       2    2919 [ksoftirqd/2]
    0     0      26       2    2919 [kworker/2:0H-kblockd]
    0     0      27       2    2919 [cpuhp/3]
    0     0      28       2    2919 [idle_inject/3]
    0     0      29       2    2919 [migration/3]
    0     0      30       2    2919 [ksoftirqd/3]
    0     0      32       2    2919 [kworker/3:0H-kblockd]
    0     0      33       2    2919 [cpuhp/4]
    0     0      34       2    2919 [idle_inject/4]
    0     0      35       2    2919 [migration/4]
    0     0      36       2    2919 [ksoftirqd/4]
    0     0      37       2    2919 [kworker/4:0-events]
    0     0      38       2    2919 [kworker/4:0H-kblockd]
    0     0      39       2    2919 [cpuhp/5]
    0     0      40       2    2919 [idle_inject/5]
    0     0      41       2    2919 [migration/5]
    0     0      42       2    2919 [ksoftirqd/5]
    0     0      44       2    2919 [kworker/5:0H-kblockd]
    0     0      45       2    2919 [cpuhp/6]
    0     0      46       2    2919 [idle_inject/6]
    0     0      47       2    2919 [migration/6]
    0     0      48       2    2919 [ksoftirqd/6]
    0     0      50       2    2919 [kworker/6:0H-kblockd]
    0     0      51       2    2919 [cpuhp/7]
    0     0      52       2    2919 [idle_inject/7]
    0     0      53       2    2919 [migration/7]
    0     0      54       2    2919 [ksoftirqd/7]
    0     0      56       2    2919 [kworker/7:0H-kblockd]
    0     0      57       2    2919 [kdevtmpfs]
    0     0      58       2    2919 [netns]
    0     0      59       2    2919 [rcu_tasks_kthre]
    0     0      60       2    2919 [rcu_tasks_rude_]
    0     0      61       2    2919 [rcu_tasks_trace]
    0     0      62       2    2919 [kauditd]
    0     0      63       2    2919 [khungtaskd]
    0     0      64       2    2919 [oom_reaper]
    0     0      65       2    2919 [writeback]
    0     0      66       2    2919 [kcompactd0]
    0     0      67       2    2919 [ksmd]
    0     0      68       2    2919 [khugepaged]
    0     0     115       2    2919 [kintegrityd]
    0     0     116       2    2919 [kblockd]
    0     0     117       2    2919 [blkcg_punt_bio]
    0     0     119       2    2919 [kworker/2:1-events]
    0     0     120       2    2919 [tpm_dev_wq]
    0     0     121       2    2919 [ata_sff]
